Area;Perimeter;Major_Axis_Length;Minor_Axis_Length;Eccentricity;Convex_Area;Extent;Class
15231;5255789795;2297498779;8509378815;928882003;15617;572895527;Cammeo
14656;4943110046;2060200653;9173097229;895404994;15072;615436316;Cammeo
14634;5011220093;214106781;8776828766;912118077;14954;693258822;Cammeo
13176;4583429871;1933373871;8744839478;891860902;13368;640669048;Cammeo
14688;5071669922;2117433777;8931245422;906690896;15262;646023929;Cammeo
13479;4770159912;2000530548;8665029144;901328325;13786;657897294;Cammeo
15757;5092810059;2072966766;9833613586;88032347;16150;58970809;Cammeo
16405;5265700073;2216125183;9543670654;902520597;16837;65888828;Cammeo
14534;4836409912;1966508179;9505068207;875428557;14932;649651349;Cammeo
13485;4715700073;198272644;8772728729;896789312;13734;572319865;Cammeo
14930;4999249878;2122458191;9001747894;905606449;15248;624372721;Cammeo
14626;4965859985;2045341339;9297486877;890711546;15070;57021445;Cammeo
15926;5227399902;2257360535;9105709076;915033162;16240;779768884;Cammeo
14076;479677002;199489151;9070998383;890638888;14434;781218767;Cammeo
13500;4769150085;2025466766;854054718;906754851;13800;717703342;Cammeo
14349;4969460144;2135440216;8616077423;914988399;14678;666837096;Cammeo
15209;4965650024;2140500793;9102632141;90507257;15395;569369555;Cammeo
15238;4968710022;2085317841;9382839966;893054903;15487;732314467;Cammeo
13509;4804660034;2071371613;8394016266;914210558;13732;595634937;Cammeo
13699;4807290039;1979709167;8994907379;890820742;14178;672046721;Cammeo
13921;4819930115;20344487;8812581635;901313186;14210;561330616;Cammeo
14405;4882369995;20443013;9062645721;896367073;14742;763785779;Cammeo
13377;4729609985;1999407806;8668286896;901133001;13685;79483068;Cammeo
15043;4982990112;2060117035;9476668549;887915671;15414;586883605;Cammeo
14590;4961719971;2121007538;8860240936;908567846;14883;571484506;Cammeo
13237;4660029907;1979048004;8570957184;90135318;13445;592418551;Cammeo
16226;5242050171;2168732605;9665367889;895197868;16748;648624897;Cammeo
13203;4694660034;1993418579;8538957214;903609395;13431;601558208;Cammeo
13328;4730440063;2013988647;8525860596;905974567;13588;780099511;Cammeo
14945;4931080017;2020469818;9507941437;882356942;15357;739998043;Cammeo
13130;4679219971;1961468048;8620711517;898241103;13462;574818313;Cammeo
13414;479901001;203085968;8573687744;906516492;13735;714042366;Cammeo
16104;5074289856;2060707397;1007536316;872324467;16457;605413556;Cammeo
11827;4552210083;1947844543;7843153381;915350497;12212;769986987;Cammeo
14479;4759249878;2005519409;9217806244;888114691;14696;711428881;Cammeo
14306;4822479858;197685791;9405610657;879561126;14667;587950051;Cammeo
14415;4881220093;2035928497;91034729;89446342;14758;674102128;Cammeo
14415;4900660095;2065392456;9001753235;900025427;14671;65332669;Cammeo
14524;4802120056;1999330139;9331210327;884406805;14808;611279488;Cammeo
13780;497428009;2217229004;7995213318;932722569;14010;550781429;Cammeo
12768;4648200073;1953881531;8435991669;901990652;13085;58298707;Cammeo
13047;486368988;2131944733;7928887177;928269327;13621;615424514;Cammeo
14456;4929509888;2124112244;8736013031;911509812;14726;795028329;Cammeo
13973;4740079956;1923492889;9377914429;873097241;14354;614197791;Cammeo
13858;4825799866;2050201569;869646759;905579686;14154;555921078;Cammeo
